"Pseudonym";"meal";"choice_1";"choice_2";"choice_3";"choice_4";"choice_5";"choice_6";"choice_7";"choice_8";"choice_9";"choice_10";"satis_1";"satis_2";"satis_3";"ing_1";"ing_2";"ing_3";"ing_4";"att_1";"att_2";"att_3";"att_4";"att_5";"att_6";"att_7";"att_8";"att_9";"att_10";"att_11";"diet";"allerg";"relig";"meds";"tho_1";"tho_2";"tho_3";"tho_4";"tho_5";"tra_1";"tra_2";"tra_3";"tra_4";"tra_5";"meat";"milk";"veget";"veg";"pensum";"cant";"home";"other";"gender";"member";"fill";"age_groups";"mensa";"sumNA";"perNA";"Verpflegungstyp";"date";"place";"intervention";"label_content";"meal_name";"choice_add_d";"choice_add_v";"code_choice";"Bemerkungen_d";"Bemerkungen_v";"code_zu_Bemerkungen"
"2017_HS_K_0376";"Kitchen";4;3;3;4;2;3;"1";"1";"1";2;4;"4";"1";"1";"1";"1";"-99";2;4;"2";"3";"3";4;"1";3;"4";"4";4;"0";"0";"0";"0";"3";"4";4;"4";4;3;4;"4";"4";"4";"1";"4";"6";"3";"4";"3";"2";"1";"x";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Mensagaenger";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";1;"vegetarisch";"vegi";1;"Immer ein vegetarisches Men¸Å f¸År CHF 7.00 w‰re Schˆn.";"Fleisch teurer "
"2017_HS_K_0377";"Kitchen";4;4;4;4;3;4;"2";"2";"2";2;3;"3";"1";"-99";"2";"1";NA;2;3;"2";"-99";"-99";-99;"-99";3;"-99";"-99";-99;"0";"0";"0";"0";"3";"3";2;"3";4;4;4;"4";"4";"4";"2";"6";"1";"1";"3";"3";"3";"2";"Frau";"Student/in";"0";"17- bis 25-jaehrig";"1";1;1,92307692307692;"Abwechsler";2017-11-21;"Gr¸ental";0;"vegetarisch";"NA";0;NA;NA;0;NA;NA
"2017_HS_K_0379";"Kitchen";2;3;3;2;2;4;"1";"2";"3";1;3;"2";"3";"2";"-99";"-99";"-99";2;2;"2";"2";"2";1;"1";2;"1";"2";2;"0";"0";"0";"0";"3";"3";3;"3";2;3;3;"2";"3";"3";"5";"5";"3";"2";"5";"4";"3";"2";"Mann";"Mitarbeiter/in";"1";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-11-21;"Reidbach";0;"vegetarisch";"NA";0;NA;NA;1;"Kitchen fÅ¸r vegi-Gerichte h‰ufig zu teuer!";"Fleisch teurer "
"2017_HS_K_0388";NA;3;3;3;3;3;4;"1";"1";"1";2;3;"3";"2";"2";"2";"2";"1";3;4;"3";"4";"3";2;"1";4;"4";"4";3;"1";"0";"0";"0";"3";"3";3;"4";3;3;3;"2";"3";"3";"3";"4";"2";"1";"2";"3";"3";"2";"Frau";"Mitarbeiter/in";"1";"50- bis 64-jaehrig";"1";1;1,92307692307692;"Abwechsler";2017-11-21;"Reidbach";0;NA;NA;0;NA;NA;0;NA;NA
"2017_HS_K_0389";"Kitchen";4;3;3;3;2;3;"1";"1";"1";3;4;"3";"1";"2";"1";"1";"4";3;3;"2";"-99";"-99";2;"1";4;"-99";"-99";2;"1";"0";"0";"0";"4";"3";3;"3";2;4;4;"3";"3";"4";"6";"3";"2";"1";"4";"4";"1";"1";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";2;3,84615384615385;"Mensagaenger";2017-11-21;"Reidbach";0;"vegetarisch";"NA";0;NA;NA;0;NA;NA
"2017_HS_K_0390";"Kitchen";3;1;1;3;1;4;"2";"2";"1";1;4;"4";"1";"4";"2";"1";"1";4;4;"2";"1";"1";1;"1";3;"1";"2";3;"0";"0";"0";"0";"4";"1";1;"2";3;4;3;"2";"3";"3";"5";"7";"3";"1";"5";"3";"1";"4";"Mann";"Student/in";"0";"17- bis 25-jaehrig";"1";0;0;"Einkaeufer";2017-11-21;"Reidbach";0;"vegetarisch";"NA";0;NA;NA;0;NA;NA
"2017_HS_K_0391";"Kitchen";4;4;3;4;2;4;"4";"3";"4";4;4;"3";"3";"3";"1";"1";"1";4;3;"3";"3";"4";4;"3";4;"4";"3";4;"1";"0";"0";"0";"4";"4";4;"4";4;4;4;"4";"4";"4";"3";"4";"1";"1";"2";"3";"3";"3";"Frau";"Student/in";"1";"26- bis 34-jaehrig";"1";0;0;"Abwechsler";2017-11-21;"Reidbach";0;"vegetarisch";"NA";0;NA;NA;0;NA;NA
"2017_HS_K_0392";"Kitchen";3;4;4;4;1;3;"1";"4";NA;NA;3;"3";"4";"2";"2";"2";"2";3;4;"2";"2";"3";1;"1";4;"1";"2";3;"0";"0";"0";"0";"3";"1";3;"3";3;4;2;"3";"4";"4";"4";"6";"3";"2";"2";"3";"3";"3";"Frau";"Student/in";"0";"17- bis 25-jaehrig";"1";2;3,84615384615385;"Abwechsler";2017-11-21;"Reidbach";0;"vegetarisch";"NA";0;NA;NA;0;NA;NA
"2017_HS_K_0398";"Kitchen";4;3;4;2;3;4;"1";"4";"3";3;4;"4";"1";"4";"4";"1";"1";1;4;"1";"1";"2";1;"1";4;"3";"3";2;"0";"0";"0";"0";"2";"2";1;"1";1;2;2;"3";"4";"3";"5";"7";"2";"1";"5";"5";"1";"1";"Frau";"Mitarbeiter/in";"1";"26- bis 34-jaehrig";"1";0;0;"Mensagaenger";2017-11-30;"Gr¸ental";1;"Fleisch/Fisch";"Schweins Cordon Bleu";0;NA;NA;0;NA;NA
"2017_HS_K_0399";"Kitchen";2;2;3;2;2;4;"1";"4";"2";1;4;"3";"2";"3";"2";"-99";"-99";3;2;"3";"-99";"-99";1;"1";4;"3";"-99";2;"0";"0";"0";"0";"4";"3";2;"3";2;4;2;"1";"3";"4";"4";"6";"3";"3";"5";"5";"1";"2";"Mann";"Mitarbeiter/in";"0";"35- bis 49-jaehrig";"1";0;0;"Mensagaenger";2017-11-30;"Gr¸ental";1;"Fleisch/Fisch";"Schweins Cordon Bleu";0;NA;NA;0;NA;NA
